ARTWORK,DATE,SOURCE TITLE,SOURCE IMAGE
"<src: https://static.jojowiki.com/images/e/e0/latest/20210328205358/WSJ_-32_1987_JonathanCover-illus_1.png
alt: WSJ -32 1987 JonathanCover-illus 1.png>
<src: https://static.jojowiki.com/images/8/80/latest/20210328205358/WSJ_-32_1987_JonathanCover-illus_2.png
alt: WSJ -32 1987 JonathanCover-illus 2.png>
","July 20, 1987",Weekly Shonen Jump 1987 Issue #32 (Cover),"<src: https://static.jojowiki.com/images/c/ca/latest/20200508043236/Weekly_Jump_July_20%2C_1987.png
alt: Weekly Jump July 20, 1987.png>
"
"<src: https://static.jojowiki.com/images/f/fe/latest/20200116204845/JumpComics1Spine.png
alt: JumpComics1Spine.png>
","August 10, 1987",Jump Comics Volume 1 (Spine Illustration),"<src: https://static.jojowiki.com/images/3/32/latest/20191017210545/JoJoVolume1-12Spine.png
alt: JoJoVolume1-12Spine.png>
"
"<src: https://static.jojowiki.com/images/b/b8/latest/20200116204923/JumpComics2Back.png
alt: JumpComics2Back.png>
","January 8, 1988",Jump Comics Volume 2 (Spine Illustration),"<src: https://static.jojowiki.com/images/3/32/latest/20191017210545/JoJoVolume1-12Spine.png
alt: JoJoVolume1-12Spine.png>
"
"<src: https://static.jojowiki.com/images/5/5c/latest/20210110094046/WSJ1988No5C-2.png
alt: WSJ1988No5C-2.png>
<src: https://static.jojowiki.com/images/8/8b/latest/20210110094047/WSJ1988No5C.png
alt: WSJ1988No5C.png>
","January 15, 1988",Weekly Shonen Jump 1988 Issue #5 (Cover),"<src: https://static.jojowiki.com/images/9/9e/latest/20200508043551/Weekly_Jump_Jan_15%2C_1988.png
alt: Weekly Jump Jan 15, 1988.png>
"
"<src: https://static.jojowiki.com/images/3/3a/latest/20200114130313/JosephWSJ1988No9.png
alt: JosephWSJ1988No9.png>
","February 8, 1988",Weekly Shonen Jump 1988 Issue #9 (Cover),"<src: https://static.jojowiki.com/images/1/1a/latest/20230107212238/Weekly_Jump_Feb_8%2C_1988.png
alt: Weekly Jump Feb 8, 1988.png>
"
"<src: https://static.jojowiki.com/images/d/dc/latest/20191015214311/JosephWSJ1998No9.png
alt: JosephWSJ1998No9.png>
","February 8, 1988",Weekly Shonen Jump 1988 Issue #9 (Title Page),"<src: https://static.jojowiki.com/images/9/93/latest/20230108222935/Chapter_57_Magazine_cover_B.jpg
alt: Chapter 57 Magazine cover B.jpg>
"
"<src: https://static.jojowiki.com/images/2/22/latest/20220526052123/Chapter_57_Cover_B_JoJonium.jpg
alt: Chapter 57 Cover B JoJonium.jpg>
","February 8, 1988",Weekly Shonen Jump 1988 Issue #9 (Color Page),"<src: https://static.jojowiki.com/images/7/74/latest/20230106210606/Chapter_57_Magazine_cover_A.jpg
alt: Chapter 57 Magazine cover A.jpg>
"
"<src: https://static.jojowiki.com/images/f/f0/latest/20221127172526/JumpComics10C2.png
alt: JumpComics10C2.png>
","March 7, 1988",Weekly Shonen Jump 1988 Issue #13 (Cover),"<src: https://static.jojowiki.com/images/e/ee/latest/20200509220744/Weekly_Jump_Mar_7%2C_1988.png
alt: Weekly Jump Mar 7, 1988.png>
"
"<src: https://static.jojowiki.com/images/c/cd/latest/20221127173916/Joseph_WSJ_1988_13.png
alt: Joseph WSJ 1988 13.png>
","March 7, 1988",Weekly Shonen Jump 1988 Issue #13 (Inside Illustration),"<src: https://static.jojowiki.com/images/b/b9/latest/20221127173923/WSJ_1988_13_Jump_Heroes.png
alt: WSJ 1988 13 Jump Heroes.png>
<src: https://static.jojowiki.com/images/e/ee/latest/20200509220744/Weekly_Jump_Mar_7%2C_1988.png
alt: Weekly Jump Mar 7, 1988.png>
"
"<src: https://static.jojowiki.com/images/6/6d/latest/20201220224236/JumpComics3clean.jpg
alt: JumpComics3clean.jpg>
","April 8, 1988",Jump Comics Volume 3 (Cover),"<src: https://static.jojowiki.com/images/d/d4/latest/20220701223414/Volume_3.jpg
alt: Volume 3.jpg>
"
"<src: https://static.jojowiki.com/images/3/3d/latest/20200116204954/JumpComics3Spine.png
alt: JumpComics3Spine.png>
","April 8, 1988",Jump Comics Volume 3 (Spine Illustration),"<src: https://static.jojowiki.com/images/3/32/latest/20191017210545/JoJoVolume1-12Spine.png
alt: JoJoVolume1-12Spine.png>
"
"<src: https://static.jojowiki.com/images/2/21/latest/20210526185112/Vol4_cover_art.png
alt: Vol4 cover art.png>
<src: https://static.jojowiki.com/images/3/38/latest/20230220090541/Jonathanjoestarclean.png
alt: Jonathanjoestarclean.png>
","June 10, 1988",Jump Comics Volume 4 (Cover),"<src: https://static.jojowiki.com/images/e/e0/latest/20191015215852/Volume_4.jpg
alt: Volume 4.jpg>
"
"<src: https://static.jojowiki.com/images/c/c2/latest/20200116205038/JumpComics4Spine.png
alt: JumpComics4Spine.png>
","June 10, 1988",Jump Comics Volume 4 (Spine Illustration),"<src: https://static.jojowiki.com/images/3/32/latest/20191017210545/JoJoVolume1-12Spine.png
alt: JoJoVolume1-12Spine.png>
"
"<src: https://static.jojowiki.com/images/1/1d/latest/20191015213258/JumpComics11C2.png
alt: JumpComics11C2.png>
","July 18, 1988",Weekly Shonen Jump 1988 Issue #32 (Cover),"<src: https://static.jojowiki.com/images/c/c8/latest/20200510191254/Weekly_Jump_July_18%2C_1988_20th_Anniversary.png
alt: Weekly Jump July 18, 1988 20th Anniversary.png>
"
"<src: https://static.jojowiki.com/images/2/2f/latest/20200116205544/JosephJoestarPose.png
alt: JosephJoestarPose.png>
","July 25, 1988",Weekly Shonen Jump 1988 Issue #33 (Cover),"<src: https://static.jojowiki.com/images/8/8f/latest/20230107210648/Weekly_Jump_July_25%2C_1988.png
alt: Weekly Jump July 25, 1988.png>
"
"<src: https://static.jojowiki.com/images/3/3c/latest/20220104224539/Chapter_81_JoJonium.png
alt: Chapter 81 JoJonium.png>
","July 25, 1988",Weekly Shonen Jump 1988 Issue #33 (Color Page),"<src: https://static.jojowiki.com/images/1/17/latest/20230108002044/Chapter_81_Magazine_Cover_A.png
alt: Chapter 81 Magazine Cover A.png>
"
"<src: https://static.jojowiki.com/images/0/0e/latest/20200116060112/WSJ1988No33D.png
alt: WSJ1988No33D.png>
","July 25, 1988",Weekly Shonen Jump 1988 Issue #33 (Title Page),"<src: https://static.jojowiki.com/images/9/9d/latest/20230108211204/Chapter_81_Magazine_Cover_B.jpg
alt: Chapter 81 Magazine Cover B.jpg>
"
